representation,projection,seed,native_dim,probe_dim,stage_c,boundary_c,boundary_threshold,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,terminal_test_samples,probe_latency_ms_per_sample,feature_hook_latency_ms_per_step,model_inference_latency_ms_per_step,peak_vram_bytes,host_rss_delta_bytes,boundary_event_f1_at_5,boundary_event_f1_at_10,boundary_median_abs_error,false_boundaries_per_episode,no_boundary_failure_fpr
R4_action_encoder,native,53,1536,1536,10.0,0.01,0.95,0.8824129412702207,0.8824884792626728,0.8640350877192983,0.9078341013824884,0.9029126213592233,0.8571428571428571,12,0.0021653258865921257,0.03566764909143482,209.84981611801186,6387723264,0,0.45454545454545453,0.7272727272727273,5.0,1.0833333333333333,nan
R4_action_encoder,native,67,1536,1536,1.0,0.01,0.95,0.8616324704115381,0.8638052768487552,0.8230088495575221,0.8985507246376812,0.9023255813953488,0.8290598290598291,12,0.0021182806637408697,0.03473031777099169,208.02734632147553,6387723264,0,0.5833333333333334,0.8333333333333334,3.5,1.1666666666666667,nan
R4_action_encoder,common_256,17,1536,256,1.0,0.01,0.95,0.8817777777777778,0.8814215341308937,0.8545454545454545,0.9261083743842364,0.9162011173184358,0.8367346938775511,12,0.0006670484210536372,0.0353151189868147,207.66326614266953,6387723264,0,0.2857142857142857,0.7619047619047619,7.0,1.0,nan
R4_action_encoder,common_256,29,1536,256,10.0,0.01,0.95,0.7928571428571429,0.806251069411966,0.9014084507042254,0.7191011235955056,0.701195219123506,0.8934010152284264,11,0.000639433805416746,0.033624227706486993,205.81048477800132,6387723264,0,0.43478260869565216,0.6956521739130435,6.0,1.6666666666666667,1.0
R4_action_encoder,common_256,41,1536,256,10.0,0.01,0.9,0.7887070670742672,0.8049916185509406,0.8977777777777778,0.73992673992674,0.6844444444444444,0.8700564971751412,11,0.0006879141414394711,0.03353342980651244,205.0831428423303,6387723264,0,0.08695652173913043,0.2608695652173913,16.0,1.75,1.0
R4_action_encoder,common_256,53,1536,256,10.0,0.01,0.95,0.8754808407540433,0.8755760368663594,0.8558951965065502,0.9032258064516129,0.8975609756097561,0.847926267281106,12,0.0009878491284195973,0.03566764909143482,209.84981611801186,6387723264,0,0.45454545454545453,0.7272727272727273,5.0,1.0833333333333333,nan
R4_action_encoder,common_256,67,1536,256,10.0,0.01,0.95,0.8592881551319528,0.8608324043106652,0.8280542986425339,0.8840579710144928,0.8909090909090909,0.8376068376068376,12,0.0006330200989303344,0.03473031777099169,208.02734632147553,6387723264,0,0.5833333333333334,0.8333333333333334,3.5,1.1666666666666667,nan
R5_final_dit_hidden,native,17,1024,1024,0.1,0.1,0.95,0.98746741213054,0.9875967628430683,0.995,0.9802955665024631,0.9798994974874372,0.9948979591836735,12,0.00350090355889444,0.0353151189868147,207.66326614266953,6387723264,0,0.25,0.5,10.5,1.0,nan
R5_final_dit_hidden,native,29,1024,1024,1.0,0.01,0.95,0.8897127703700942,0.9018327344626325,0.9821428571428571,0.8239700374531835,0.8041666666666667,0.9796954314720813,11,0.002738406814462462,0.033624227706486993,205.81048477800132,6387723264,0,0.08695652173913043,0.34782608695652173,13.0,1.25,1.0
R5_final_dit_hidden,native,41,1024,1024,1.0,0.01,0.95,0.8546764377096013,0.8789656671012603,0.9905660377358491,0.7692307692307693,0.7352941176470589,0.9887005649717514,11,0.005443962525238719,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.34782608695652173,13.0,1.3333333333333333,1.0
R5_final_dit_hidden,native,53,1024,1024,1.0,0.01,0.95,0.979262562714024,0.9792626728110598,0.9770642201834863,0.9815668202764977,0.9814814814814815,0.9769585253456221,12,0.0015635809457084139,0.03566764909143482,209.84981611801186,6387723264,0,0.16666666666666666,0.4166666666666667,12.0,1.25,nan
R5_final_dit_hidden,native,67,1024,1024,0.1,0.1,0.75,0.9863574492657977,0.9869007803790413,0.976303317535545,0.9951690821256038,0.9956521739130435,0.9786324786324786,12,0.0016134596990107703,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.16666666666666666,16.5,1.4166666666666667,nan
R5_final_dit_hidden,common_256,17,1024,256,0.1,0.1,0.95,0.98746741213054,0.9875967628430683,0.995,0.9802955665024631,0.9798994974874372,0.9948979591836735,12,0.0006572140351034564,0.0353151189868147,207.66326614266953,6387723264,0,0.08333333333333333,0.4166666666666667,11.5,1.0,nan
R5_final_dit_hidden,common_256,29,1024,256,1.0,0.01,0.95,0.885387780972843,0.8974220042206126,0.9776785714285714,0.8202247191011236,0.8,0.9746192893401016,11,0.0007574775246306916,0.033624227706486993,205.81048477800132,6387723264,0,0.08695652173913043,0.34782608695652173,13.0,1.25,1.0
R5_final_dit_hidden,common_256,41,1024,256,10.0,0.01,0.95,0.8457334492609614,0.8696529459241323,0.9811320754716981,0.7619047619047619,0.726890756302521,0.9774011299435028,11,0.0006265574747334485,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.34782608695652173,13.0,1.3333333333333333,1.0
R5_final_dit_hidden,common_256,53,1024,256,100.0,0.01,0.95,0.97004465162705,0.9700460829493087,0.9766355140186916,0.9631336405529954,0.9636363636363636,0.9769585253456221,12,0.0006489227609728848,0.03566764909143482,209.84981611801186,6387723264,0,0.16666666666666666,0.4166666666666667,12.0,1.25,nan
R5_final_dit_hidden,common_256,67,1024,256,0.1,0.1,0.85,0.9863574492657977,0.9869007803790413,0.976303317535545,0.9951690821256038,0.9956521739130435,0.9786324786324786,12,0.000607293135448383,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.34782608695652173,15.0,1.25,nan
R6_vlm_dit_concat,native,17,3072,3072,0.01,0.01,0.95,0.9924795024031665,0.9925228712174525,0.995049504950495,0.9901477832512315,0.9898477157360406,0.9948979591836735,12,0.005115113383459416,0.0353151189868147,207.66326614266953,6387723264,0,0.0,0.3333333333333333,12.5,1.0,nan
R6_vlm_dit_concat,native,29,3072,3072,0.01,0.1,0.95,0.8896551724137931,0.9011673225726725,0.9778761061946902,0.8277153558052435,0.8067226890756303,0.9746192893401016,11,0.009223898809531821,0.033624227706486993,205.81048477800132,6387723264,0,0.08695652173913043,0.08695652173913043,15.0,1.25,1.0
R6_vlm_dit_concat,native,41,3072,3072,10.0,0.01,0.95,0.8808089995452251,0.899950332153722,0.9867256637168141,0.8168498168498168,0.7767857142857143,0.9830508474576272,11,0.004419715959593672,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.17391304347826086,18.0,1.3333333333333333,1.0
R6_vlm_dit_concat,native,53,3072,3072,0.01,0.01,0.7,0.9884792015077912,0.988479262672811,0.9862385321100917,0.9907834101382489,0.9907407407407407,0.9861751152073732,12,0.0043554586255372995,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.08333333333333333,19.5,1.6666666666666667,nan
R6_vlm_dit_concat,native,67,3072,3072,0.01,0.01,0.7999999999999999,0.9909049661771985,0.9914529914529915,0.981042654028436,1.0,1.0,0.9829059829059829,12,0.0053643680684157735,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.25,17.0,1.5833333333333333,nan
R6_vlm_dit_concat,common_256,17,3072,256,0.01,0.01,0.95,0.9899718508092892,0.9899718508092892,0.9901477832512315,0.9901477832512315,0.9897959183673469,0.9897959183673469,12,0.0007248612531301225,0.0353151189868147,207.66326614266953,6387723264,0,0.08333333333333333,0.16666666666666666,14.5,1.0,nan
R6_vlm_dit_concat,common_256,29,3072,256,10.0,0.1,0.95,0.8896551724137931,0.9011673225726725,0.9778761061946902,0.8277153558052435,0.8067226890756303,0.9746192893401016,11,0.0006759831691201629,0.033624227706486993,205.81048477800132,6387723264,0,0.08695652173913043,0.08695652173913043,15.0,1.25,1.0
R6_vlm_dit_concat,common_256,41,3072,256,10.0,0.01,0.95,0.883,0.9017818339852238,0.986784140969163,0.8205128205128205,0.7802690582959642,0.9830508474576272,11,0.0006233393939666454,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.17391304347826086,16.0,1.25,1.0
R6_vlm_dit_concat,common_256,53,3072,256,0.01,0.01,0.6,0.9884792015077912,0.988479262672811,0.9862385321100917,0.9907834101382489,0.9907407407407407,0.9861751152073732,12,0.0006721731115919581,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.0,20.5,1.3333333333333333,nan
R6_vlm_dit_concat,common_256,67,3072,256,0.01,0.1,0.9,0.9909049661771985,0.9914529914529915,0.981042654028436,1.0,1.0,0.9829059829059829,12,0.0006501600701072284,0.03473031777099169,208.02734632147553,6387723264,0,0.08333333333333333,0.3333333333333333,15.5,1.6666666666666667,nan
